
------ ******* ------ New Log ------ ******* ------
isTrain: True
net: MLP_CE
isCNN: False
isRandom: False
exp_name: Task1_MLP_CE
batch_size: 32
epoch: 250
milestones: [50, 100]
lr: 0.001
weight_decay: 0.0
reweight: 1.0
dir_root: ./data
task: Task_1
filename: data_1.mat
save_dir: ./experiments
MLP_CE(
  (mlp): Sequential(
    (0): Linear(in_features=779, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=32, bias=True)
    (5): ReLU()
    (6): Linear(in_features=32, out_features=2, bias=True)
  )
)
EPOCH = 000/250, [time] = 2.39s, [Acc 3840-tr]:0.791, [avrg loss] = 0.4764599. [Accu 961-Val]:0.778. Best @ 000, with accu 0.778.
EPOCH = 001/250, [time] = 2.20s, [Acc 3840-tr]:0.886, [avrg loss] = 0.3447782. [Accu 961-Val]:0.874. Best @ 001, with accu 0.874.
EPOCH = 002/250, [time] = 2.21s, [Acc 3840-tr]:0.893, [avrg loss] = 0.2742804. [Accu 961-Val]:0.881. Best @ 002, with accu 0.881.
EPOCH = 003/250, [time] = 2.10s, [Acc 3840-tr]:0.896, [avrg loss] = 0.2752142. [Accu 961-Val]:0.903. Best @ 003, with accu 0.903.
EPOCH = 004/250, [time] = 2.10s, [Acc 3840-tr]:0.902, [avrg loss] = 0.2543942. [Accu 961-Val]:0.874. Best @ 003, with accu 0.903.
EPOCH = 005/250, [time] = 2.13s, [Acc 3840-tr]:0.897, [avrg loss] = 0.2448730. [Accu 961-Val]:0.865. Best @ 003, with accu 0.903.
EPOCH = 006/250, [time] = 2.24s, [Acc 3840-tr]:0.912, [avrg loss] = 0.2289174. [Accu 961-Val]:0.892. Best @ 003, with accu 0.903.
EPOCH = 007/250, [time] = 2.06s, [Acc 3840-tr]:0.883, [avrg loss] = 0.2303241. [Accu 961-Val]:0.804. Best @ 003, with accu 0.903.
EPOCH = 008/250, [time] = 2.20s, [Acc 3840-tr]:0.905, [avrg loss] = 0.2430846. [Accu 961-Val]:0.922. Best @ 008, with accu 0.922.
EPOCH = 009/250, [time] = 2.40s, [Acc 3840-tr]:0.924, [avrg loss] = 0.2195772. [Accu 961-Val]:0.926. Best @ 009, with accu 0.926.
EPOCH = 010/250, [time] = 2.17s, [Acc 3840-tr]:0.915, [avrg loss] = 0.2208436. [Accu 961-Val]:0.925. Best @ 009, with accu 0.926.
EPOCH = 011/250, [time] = 2.24s, [Acc 3840-tr]:0.921, [avrg loss] = 0.2058101. [Accu 961-Val]:0.920. Best @ 009, with accu 0.926.
EPOCH = 012/250, [time] = 2.12s, [Acc 3840-tr]:0.923, [avrg loss] = 0.2074098. [Accu 961-Val]:0.930. Best @ 012, with accu 0.930.
EPOCH = 013/250, [time] = 2.24s, [Acc 3840-tr]:0.912, [avrg loss] = 0.2056985. [Accu 961-Val]:0.876. Best @ 012, with accu 0.930.
EPOCH = 014/250, [time] = 2.07s, [Acc 3840-tr]:0.924, [avrg loss] = 0.1962890. [Accu 961-Val]:0.929. Best @ 012, with accu 0.930.
EPOCH = 015/250, [time] = 2.12s, [Acc 3840-tr]:0.919, [avrg loss] = 0.1918183. [Accu 961-Val]:0.929. Best @ 012, with accu 0.930.
EPOCH = 016/250, [time] = 2.18s, [Acc 3840-tr]:0.930, [avrg loss] = 0.2010765. [Accu 961-Val]:0.938. Best @ 016, with accu 0.938.
EPOCH = 017/250, [time] = 2.16s, [Acc 3840-tr]:0.930, [avrg loss] = 0.2091986. [Accu 961-Val]:0.934. Best @ 016, with accu 0.938.
EPOCH = 018/250, [time] = 2.05s, [Acc 3840-tr]:0.929, [avrg loss] = 0.1852600. [Accu 961-Val]:0.932. Best @ 016, with accu 0.938.
EPOCH = 019/250, [time] = 2.28s, [Acc 3840-tr]:0.918, [avrg loss] = 0.1906258. [Accu 961-Val]:0.889. Best @ 016, with accu 0.938.
EPOCH = 020/250, [time] = 2.22s, [Acc 3840-tr]:0.932, [avrg loss] = 0.2013416. [Accu 961-Val]:0.913. Best @ 016, with accu 0.938.
EPOCH = 021/250, [time] = 2.17s, [Acc 3840-tr]:0.938, [avrg loss] = 0.1772396. [Accu 961-Val]:0.945. Best @ 021, with accu 0.945.
EPOCH = 022/250, [time] = 2.13s, [Acc 3840-tr]:0.920, [avrg loss] = 0.1774107. [Accu 961-Val]:0.937. Best @ 021, with accu 0.945.
EPOCH = 023/250, [time] = 2.06s, [Acc 3840-tr]:0.917, [avrg loss] = 0.1807427. [Accu 961-Val]:0.940. Best @ 021, with accu 0.945.
EPOCH = 024/250, [time] = 2.25s, [Acc 3840-tr]:0.942, [avrg loss] = 0.1556189. [Accu 961-Val]:0.946. Best @ 024, with accu 0.946.
